ID	Описание	Реализация	Пункт в ТТ
FR-RPT-CC-01	Модуль Контакт-центра должен иметь возможность для мониторинга всех этапов обработки запросов и корректности ответов.	Готовый функционал мониторинга (не конструктор). Назначение: контроль этапов обработки запроса LLM и корректности ответов. Состав: этапы понимание запроса → поиск в СУЗ → формирование ответа LLM → отображение оператору; статусы этапов; канал; % релевантности либо явно «не проставлен»; отметка полезности («воспользовался» / «не воспользовался» / «неполный ответ» либо явно «не проставлена»). Фильтры: период, канал (телефония / онлайн-чат). Вид: операционная панель / список обращений с переходом в карточку. Периоды: real-time и произвольный диапазон. Приёмка: UC-REP-CC-01, RPT-T-01.	4.7.1
FR-RPT-CC-02	Модуль Контакт-центра должен автоматически формировать отчеты с результатами по релевантности и полезности ответов модуля LLM на основе отметок, проставленных операторами канала телефония и онлайн-чата в разрезе ролей пользователей.	Готовый отчёт (не конструктор). Назначение: автоматический отчёт по релевантности (%) и полезности ответов LLM. Показатели: среднее % релевантности; распределение %; доли отметок «воспользовался» / «не воспользовался» / «неполный ответ»; доля без отметки («не проставлена»). Формулы: среднее % релевантности = сумма % / число ответов с проставленным %; доля статуса = число ответов со статусом / число ответов LLM за период × 100%. Разрезы: канал (телефония / онлайн-чат), роль пользователя, оператор. Фильтры: период, канал, роль, оператор, тематика. Вид: сводная таблица + динамика; выгрузка .xlsx / .pdf / .csv / .docx. Периоды: день / неделя / месяц / произвольный / по запросу. Приёмка: UC-REP-CC-01, RPT-T-02, RPT-T-03.	4.7.2
FR-RPT-CC-03	Отслеживать запросы в режиме реального времени: при каждом обращении к модулю LLM фиксируются детали запроса, такие как канал обращения (канал телефония, онлайн-чат), содержание запроса, ключевые слова, предложенный ответ модуля LLM, отметку о полезности; в случае отклонения ответа оператором канала телефония или оператора онлайн-чата или обнаружения низкой релевантности мониторинг фиксирует причину, чтобы дальнейшие ответы можно было оптимизировать.	Оперативная панель (real-time). Назначение: мониторинг обращений к LLM в реальном времени. Состав по каждому обращению: канал, статус диалога, оператор, клиент/идентификатор, тематика, время ожидания/ответа, содержание запроса, ключевые слова, ответ/подсказка LLM, отметка полезности («воспользовался» / «не воспользовался» / «неполный ответ» либо явно «не проставлена»), % релевантности либо явно «не проставлен», признак низкой релевантности / отклонения ответа и причина. Сводно: активные диалоги, очереди, SLA по каналам. Фильтры: канал, отдел/скилл-группа, оператор. Вид: лента/список диалогов + KPI; переход в карточку диалога. Приёмка: UC-REP-CC-01, RPT-T-01 (не CHAT-T — общая отчётность КЦ).	4.7.3.1
FR-RPT-CC-04	Анализировать корректность ответов модуля LLM: Модуль Контакт-центра должен отслеживать соответствие ответов модуля LLM ожиданиям и контексту запроса, включая показатели, такие как релевантность (в процентах) и отметки «воспользовался/не воспользовался/неполный ответ»; данные по каждому ответу должны быть доступны для анализа с указанием причины низкой релевантности, если таковая была.	Готовый отчёт «Корректность ответов LLM». Назначение: анализ соответствия ответа LLM запросу. Состав: запрос; ответ LLM; финальный текст оператора (если есть); % релевантности либо «не проставлен»; отметка полезности либо «не проставлена»; причина низкой релевантности (если есть). Формулы: среднее % релевантности; доля ответов с низкой релевантностью (ниже порога администратора) = число таких / все ответы с % × 100%. Фильтры: период, канал, оператор, тематика, наличие/отсутствие отметки, признак низкой релевантности. Вид: таблица кейсов + сводка; выгрузка .xlsx / .pdf / .csv / .docx. Приёмка: UC-REP-CC-01.	4.7.3.2
FR-RPT-CC-05	Контролировать производительность: мониторинг должен фиксировать среднее и максимальное время отклика, отслеживать системные ресурсы, используемые для обработки запросов, и регистрировать случаи задержек в ответах, что позволит своевременно выявлять технические проблемы.	Готовый отчёт/дашборд производительности LLM. Назначение: контроль времени отклика и ресурсов (без AHT и без загрузки операторов). Данные: время отклика LLM (мс/с); среднее и максимальное время отклика за период; CPU/RAM/GPU сервисов LLM; журнал задержек. Формулы: среднее = сумма времён отклика / число запросов; максимальное = max(время отклика); доля задержек = число запросов с временем отклика выше порога / число запросов × 100%. Выделение задержек: запрос помечается как задержка, если время отклика > порога (порог в настройках, ориентир SLA 1–2 с по п. 5.1.1); на дашборде — отдельный счётчик и список. Фильтры: период, канал. Вид: таблица + графики динамики. Периоды: день / неделя / месяц / произвольный / по запросу. Приёмка: UC-REP-CC-01, RPT-T (производительность).	4.7.3.3
FR-RPT-CC-06	Оповещать об отклонениях: в случае значительных отклонений от нормальных показателей (например, резкий рост запросов с низкой релевантностью или задержек в отклике) ПО должно автоматически отправлять уведомления специалистам для оперативного реагирования. Модуль Контакт-центра должен анализировать тематику обращений за заданный промежуток времени и в режиме реального времени отображать на дашборде или отправлять уведомления о повторяющихся темах обращений за период.	Автоуведомления (готовый механизм). Показатели для порогов: (1) доля/число запросов с низкой релевантностью; (2) доля/число задержек отклика LLM; (3) рост повторяющихся тем обращений (§4.7.4.5.1). Пороги задаёт администратор. Куда: (1) карточка в блок «Оповещения» оперативной панели КЦ; (2) e-mail. Кому: получатели из настроек (по умолчанию аналитик Контакт-центра и супервизор). Вид сообщения: тип события, показатель, текущее значение, порог, канал/отдел, время, краткое описание; в письме — ссылка на панель/отчёт. Приёмка: UC-REP-CC-01.	4.7.3.4, 4.7.4.5.1
FR-RPT-CC-07	Релевантность ответов: отчет по среднему показателю релевантности для каждого канала (канал телефония, онлайн-чат); разделение по типам запросов и категориям продуктов, позволяющее определить, в каких категориях модуль LLM достигает высокой релевантности, а где его необходимо доработать.	Готовый отчёт «Релевантность ответов LLM» (не конструктор). Назначение: среднее % релевантности по каналам и разрезы. Формула: среднее % = сумма % / число ответов с проставленным %; отдельно строка/доля «% не проставлен». Разрезы: канал, тип запроса/тематика, категория продукта, оператор. Фильтры: период, канал, тематика, продукт, оператор. Вид: сводная таблица + диаграмма; выгрузка .xlsx / .pdf / .csv / .docx. Периоды: день / неделя / месяц / произвольный / по запросу. Приёмка: UC-REP-CC-01, RPT-T-02.	4.7.4.1
FR-RPT-CC-08	Оценка полезности ответов: включение показателей полезности, отмеченных операторами канала телефония или онлайн-чата, таких как доля «воспользовался» и «не воспользовался», «неполный ответ» и иных ответов, чтобы выявить слабые места в работе модуля LLM; сегментация этих данных по временным интервалам для анализа изменений в полезности ответов с течением времени.	Готовый отчёт «Полезность ответов LLM» (не конструктор). Показатели: доли «воспользовался» / «не воспользовался» / «неполный ответ»; доля «отметка не проставлена». Формула: доля статуса = число ответов со статусом / число ответов LLM за период × 100%. Разрезы: канал, оператор, роль, тематика, временной интервал. Фильтры: период, канал, оператор, роль, тематика. Вид: таблица + динамика; выгрузка .xlsx / .pdf / .csv / .docx. Приёмка: UC-REP-CC-01, RPT-T-03.	4.7.4.2
FR-RPT-CC-09	Анализ ошибок и их причины: Модуль Контакт-центра должен формировать отдельный отчет по ошибочным ответам, включая причины низкой релевантности (неполные данные, отсутствие нужного диалогового сценария), чтобы база знаний LLM и диалоговые сценарии могли быть обновлены.	Готовый отчёт «Ошибочные / некорректные ответы LLM». Состав: дата/время, канал, оператор, тематика, запрос, ответ LLM, % релевантности, причина низкой релевантности, отметка полезности («воспользовался» / «не воспользовался» / «неполный ответ» / «не проставлена»). Группировка: по причине и частоте; примеры кейсов. Фильтры: период, канал, причина, тематика, оператор. Вид: реестр + сводка; выгрузка .xlsx / .pdf / .csv / .docx. Приёмка: UC-REP-CC-01 (не UC-REP-CC-02 — тот про ASR).	4.7.4.3
FR-RPT-CC-10	Периодические отчеты для аналитиков и управленцев.	Готовые периодические сводные отчёты для аналитиков и управленцев (расписание день/неделя/месяц и по запросу, §4.7.6). Состав сводных данных — см. FR-RPT-CC-11. Роли: аналитик Контакт-центра, руководители по настройке доступа. Выгрузка .xlsx / .pdf / .csv / .docx. Приёмка: UC-REP-CC-01, RPT-T-09.	4.7.4.4
